"V1","V2","code","name","state","county","county_rown","state_rown","us_rown"
"00000 UNITED STATES","",0,"UNITED STATES",0,0,FALSE,FALSE,TRUE
"01000 ALABAMA","",1000,"ALABAMA",1,0,FALSE,TRUE,FALSE
"01001 Autauga County"," AL",1001,"Autauga County",1,1,TRUE,FALSE,FALSE
"01003 Baldwin County"," AL",1003,"Baldwin County",1,3,TRUE,FALSE,FALSE
"01005 Barbour County"," AL",1005,"Barbour County",1,5,TRUE,FALSE,FALSE
"01007 Bibb County"," AL",1007,"Bibb County",1,7,TRUE,FALSE,FALSE
"01009 Blount County"," AL",1009,"Blount County",1,9,TRUE,FALSE,FALSE
"01011 Bullock County"," AL",1011,"Bullock County",1,11,TRUE,FALSE,FALSE
"01013 Butler County"," AL",1013,"Butler County",1,13,TRUE,FALSE,FALSE
"01015 Calhoun County"," AL",1015,"Calhoun County",1,15,TRUE,FALSE,FALSE
"01017 Chambers County"," AL",1017,"Chambers County",1,17,TRUE,FALSE,FALSE
"01019 Cherokee County"," AL",1019,"Cherokee County",1,19,TRUE,FALSE,FALSE
"01021 Chilton County"," AL",1021,"Chilton County",1,21,TRUE,FALSE,FALSE
"01023 Choctaw County"," AL",1023,"Choctaw County",1,23,TRUE,FALSE,FALSE
"01025 Clarke County"," AL",1025,"Clarke County",1,25,TRUE,FALSE,FALSE
"01027 Clay County"," AL",1027,"Clay County",1,27,TRUE,FALSE,FALSE
"01029 Cleburne County"," AL",1029,"Cleburne County",1,29,TRUE,FALSE,FALSE
"01031 Coffee County"," AL",1031,"Coffee County",1,31,TRUE,FALSE,FALSE
"01033 Colbert County"," AL",1033,"Colbert County",1,33,TRUE,FALSE,FALSE
"01035 Conecuh County"," AL",1035,"Conecuh County",1,35,TRUE,FALSE,FALSE
"01037 Coosa County"," AL",1037,"Coosa County",1,37,TRUE,FALSE,FALSE
"01039 Covington County"," AL",1039,"Covington County",1,39,TRUE,FALSE,FALSE
"01041 Crenshaw County"," AL",1041,"Crenshaw County",1,41,TRUE,FALSE,FALSE
"01043 Cullman County"," AL",1043,"Cullman County",1,43,TRUE,FALSE,FALSE
"01045 Dale County"," AL",1045,"Dale County",1,45,TRUE,FALSE,FALSE
"01047 Dallas County"," AL",1047,"Dallas County",1,47,TRUE,FALSE,FALSE
"01049 DeKalb County"," AL",1049,"DeKalb County",1,49,TRUE,FALSE,FALSE
"01051 Elmore County"," AL",1051,"Elmore County",1,51,TRUE,FALSE,FALSE
"01053 Escambia County"," AL",1053,"Escambia County",1,53,TRUE,FALSE,FALSE
"01055 Etowah County"," AL",1055,"Etowah County",1,55,TRUE,FALSE,FALSE
"01057 Fayette County"," AL",1057,"Fayette County",1,57,TRUE,FALSE,FALSE
"01059 Franklin County"," AL",1059,"Franklin County",1,59,TRUE,FALSE,FALSE
"01061 Geneva County"," AL",1061,"Geneva County",1,61,TRUE,FALSE,FALSE
"01063 Greene County"," AL",1063,"Greene County",1,63,TRUE,FALSE,FALSE
"01065 Hale County"," AL",1065,"Hale County",1,65,TRUE,FALSE,FALSE
"01067 Henry County"," AL",1067,"Henry County",1,67,TRUE,FALSE,FALSE
"01069 Houston County"," AL",1069,"Houston County",1,69,TRUE,FALSE,FALSE
"01071 Jackson County"," AL",1071,"Jackson County",1,71,TRUE,FALSE,FALSE
"01073 Jefferson County"," AL",1073,"Jefferson County",1,73,TRUE,FALSE,FALSE
"01075 Lamar County"," AL",1075,"Lamar County",1,75,TRUE,FALSE,FALSE
"01077 Lauderdale County"," AL",1077,"Lauderdale County",1,77,TRUE,FALSE,FALSE
"01079 Lawrence County"," AL",1079,"Lawrence County",1,79,TRUE,FALSE,FALSE
"01081 Lee County"," AL",1081,"Lee County",1,81,TRUE,FALSE,FALSE
"01083 Limestone County"," AL",1083,"Limestone County",1,83,TRUE,FALSE,FALSE
"01085 Lowndes County"," AL",1085,"Lowndes County",1,85,TRUE,FALSE,FALSE
"01087 Macon County"," AL",1087,"Macon County",1,87,TRUE,FALSE,FALSE
"01089 Madison County"," AL",1089,"Madison County",1,89,TRUE,FALSE,FALSE
"01091 Marengo County"," AL",1091,"Marengo County",1,91,TRUE,FALSE,FALSE
"01093 Marion County"," AL",1093,"Marion County",1,93,TRUE,FALSE,FALSE
"01095 Marshall County"," AL",1095,"Marshall County",1,95,TRUE,FALSE,FALSE
"01097 Mobile County"," AL",1097,"Mobile County",1,97,TRUE,FALSE,FALSE
"01099 Monroe County"," AL",1099,"Monroe County",1,99,TRUE,FALSE,FALSE
"01101 Montgomery County"," AL",1101,"Montgomery County",1,101,TRUE,FALSE,FALSE
"01103 Morgan County"," AL",1103,"Morgan County",1,103,TRUE,FALSE,FALSE
"01105 Perry County"," AL",1105,"Perry County",1,105,TRUE,FALSE,FALSE
"01107 Pickens County"," AL",1107,"Pickens County",1,107,TRUE,FALSE,FALSE
"01109 Pike County"," AL",1109,"Pike County",1,109,TRUE,FALSE,FALSE
"01111 Randolph County"," AL",1111,"Randolph County",1,111,TRUE,FALSE,FALSE
"01113 Russell County"," AL",1113,"Russell County",1,113,TRUE,FALSE,FALSE
"01115 St. Clair County"," AL",1115,"St. Clair County",1,115,TRUE,FALSE,FALSE
"01117 Shelby County"," AL",1117,"Shelby County",1,117,TRUE,FALSE,FALSE
"01119 Sumter County"," AL",1119,"Sumter County",1,119,TRUE,FALSE,FALSE
"01121 Talladega County"," AL",1121,"Talladega County",1,121,TRUE,FALSE,FALSE
"01123 Tallapoosa County"," AL",1123,"Tallapoosa County",1,123,TRUE,FALSE,FALSE
"01125 Tuscaloosa County"," AL",1125,"Tuscaloosa County",1,125,TRUE,FALSE,FALSE
"01127 Walker County"," AL",1127,"Walker County",1,127,TRUE,FALSE,FALSE
"01129 Washington County"," AL",1129,"Washington County",1,129,TRUE,FALSE,FALSE
"01131 Wilcox County"," AL",1131,"Wilcox County",1,131,TRUE,FALSE,FALSE
"01133 Winston County"," AL",1133,"Winston County",1,133,TRUE,FALSE,FALSE
"02000 ALASKA","",2000,"ALASKA",2,0,FALSE,TRUE,FALSE
"02013 Aleutians East Borough"," AK",2013,"Aleutians East Borough",2,13,TRUE,FALSE,FALSE
"02016 Aleutians West Census Area"," AK",2016,"Aleutians West Census Area",2,16,TRUE,FALSE,FALSE
"02020 Anchorage Municipality"," AK",2020,"Anchorage Municipality",2,20,TRUE,FALSE,FALSE
"02050 Bethel Census Area"," AK",2050,"Bethel Census Area",2,50,TRUE,FALSE,FALSE
"02060 Bristol Bay Borough"," AK",2060,"Bristol Bay Borough",2,60,TRUE,FALSE,FALSE
"02068 Denali Borough"," AK",2068,"Denali Borough",2,68,TRUE,FALSE,FALSE
"02070 Dillingham Census Area"," AK",2070,"Dillingham Census Area",2,70,TRUE,FALSE,FALSE
"02090 Fairbanks North Star Borough"," AK",2090,"Fairbanks North Star Borough",2,90,TRUE,FALSE,FALSE
"02100 Haines Borough"," AK",2100,"Haines Borough",2,100,TRUE,FALSE,FALSE
"02105 Hoonah-Angoon Census Area"," AK",2105,"Hoonah-Angoon Census Area",2,105,TRUE,FALSE,FALSE
"02110 Juneau City and Borough"," AK",2110,"Juneau City and Borough",2,110,TRUE,FALSE,FALSE
"02122 Kenai Peninsula Borough"," AK",2122,"Kenai Peninsula Borough",2,122,TRUE,FALSE,FALSE
"02130 Ketchikan Gateway Borough"," AK",2130,"Ketchikan Gateway Borough",2,130,TRUE,FALSE,FALSE
"02150 Kodiak Island Borough"," AK",2150,"Kodiak Island Borough",2,150,TRUE,FALSE,FALSE
"02164 Lake and Peninsula Borough"," AK",2164,"Lake and Peninsula Borough",2,164,TRUE,FALSE,FALSE
"02170 Matanuska-Susitna Borough"," AK",2170,"Matanuska-Susitna Borough",2,170,TRUE,FALSE,FALSE
"02180 Nome Census Area"," AK",2180,"Nome Census Area",2,180,TRUE,FALSE,FALSE
"02185 North Slope Borough"," AK",2185,"North Slope Borough",2,185,TRUE,FALSE,FALSE
"02188 Northwest Arctic Borough"," AK",2188,"Northwest Arctic Borough",2,188,TRUE,FALSE,FALSE
